"screen_name","urls_t.co","text","quoted_retweet_count","hashtags","mentions_screen_name"
"pontejornalismo","https://twitter.com/user/status/1273634377554157569","A reportagem integra a série ""Um vírus e duas guerras"" feita pela Ponte em parceria com @amazonia_real @colaboraprojeto @NordesteEco @CatarinasPortal para monitorar os casos de violência na pandemia. #ViolenciaDeGenero #COVID19 #ViolenciaDoméstica   https://t.co/bXwqCwlX2Q",0,"['ViolenciaDeGenero', 'COVID19', 'ViolenciaDoméstica']","['ViolenciaDeGenero', 'COVID19', 'ViolenciaDoméstica']"
"Thibarra1","https://twitter.com/user/status/1273634375209549824","Todo mundo aq em casa de covid 19 menos eu, vamos de arrumar as coisas pra sair de casaaaaa",0,"[]","[]"
"EmersonEdjales","https://twitter.com/user/status/1273634373401706497","@samydana Por que esses alardes, todos não irão contrair o covid-19!?",0,"[]","[]"
"lucena_informa","https://twitter.com/user/status/1273634372630052864","Joice Hasselmann é diagnosticada com covid-19 https://t.co/RdMDYDmDbL",0,"[]","[]"
"Elisabe47584047","https://twitter.com/user/status/1273634367609491457","Gostaria de saber porque quem morre de outras doenças é computada como covid 19 #eptv1",0,"['eptv1']","['eptv1']"
"ryukbae_","https://twitter.com/user/status/1273634362878296065","@Deficere1 @R3nSolo criar uma casa covid é mais legal do que calcular",0,"[]","[]"
"tvverdesmares","https://twitter.com/user/status/1273634361842294788","Ceará soma 86.657 mil casos confirmados da Covid-19, com 5.352 mortes pela doença https://t.co/FtX2hCROvw https://t.co/4BOLesVTH6",0,"[]","[]"
"melrgil","https://twitter.com/user/status/1273634355743727616","@biafigs_ SIMMMMMMMM <U+0001F499> VAMOS PRA ALGUMA TRIP PÓS COVID, VIU?",0,"[]","[]"
"alinebarrosffs","https://twitter.com/user/status/1273634352325439488","Cadê a vacinaaaaa pra esse COVID-19 gente, Plmdds não aguento mais. Só estou sendo prejudicada. <U+0001F62A>",0,"[]","[]"
"cdesaboya","https://twitter.com/user/status/1273634352015060992","Com uma profunda tristeza no coração... comunico a passagem do querido Adelmaro Cavalcante.  Médico anestesista, Adelmaro estava internado no Hospital Promater e foi mais uma estrela que perdemos vítima de Covid.19.   Deus abençoe seus caminhos, de luz desde sempre.  <U+0001F5A4>",0,"[]","[]"
